Word: retweeted, TF-IDF: 143.54217277747162
Word: superhero, TF-IDF: 143.4152148590128
Word: soldier, TF-IDF: 143.3587844886102
Word: incredible, TF-IDF: 143.12955452433377
Word: oh, TF-IDF: 142.70376112836195
Word: game, TF-IDF: 141.5049543287785
Word: nm, TF-IDF: 141.03510788716235
Word: karl, TF-IDF: 141.01824473193136
Word: valkyrie, TF-IDF: 140.8174314798715
Word: date, TF-IDF: 138.54839034855752
Word: taikawaititi, TF-IDF: 138.42980573528118
Word: keaton, TF-IDF: 137.93130171826024
Word: toys, TF-IDF: 137.3760958368333
Word: news, TF-IDF: 137.26904130510232
Word: battle, TF-IDF: 136.7890848135093
Word: right, TF-IDF: 136.6118233976006
Word: disney, TF-IDF: 135.81178178170904
Word: concept, TF-IDF: 134.83432391709496
Word: gwen, TF-IDF: 134.15446176879786
Word: heroes, TF-IDF: 133.92786433029283
Word: character, TF-IDF: 132.74807192386177
Word: fan, TF-IDF: 132.5139578753204
Word: really, TF-IDF: 132.40677528475538
Word: casting, TF-IDF: 132.18530446339412
Word: skurge, TF-IDF: 130.48807270776416
Word: watch, TF-IDF: 130.10172001530162
Word: time, TF-IDF: 129.7767770144367
Word: tpb, TF-IDF: 129.69757018284656
Word: au, TF-IDF: 129.4810157944624
Word: people, TF-IDF: 129.34959790671226
Word: play, TF-IDF: 129.15837086235223
Word: figure, TF-IDF: 127.68365993713101
Word: big, TF-IDF: 126.7756077628268
Word: favorite, TF-IDF: 125.8619783861671
Word: hulk, TF-IDF: 125.77266253017171
Word: hope, TF-IDF: 125.47413422474851
Word: mcu, TF-IDF: 125.17541061120288
Word: win, TF-IDF: 124.09287181073132
Word: captainamerica, TF-IDF: 123.84055625200055
Word: better, TF-IDF: 123.27516718939088
Word: easter, TF-IDF: 122.89500251968563
Word: ironfist, TF-IDF: 122.76901255539943
Word: egg, TF-IDF: 122.23280689773173
Word: pls, TF-IDF: 121.87899579234985
Word: toy, TF-IDF: 121.57135738318435
Word: life, TF-IDF: 120.97774143842113
Word: moment, TF-IDF: 120.90693365140768
Word: russos, TF-IDF: 120.64676371984311
Word: development, TF-IDF: 120.52881237096359
Word: going, TF-IDF: 120.33434713725889
